window_id,purpose,start_date,end_date,strategy_name,friction_bps,starting_capital,ending_capital,total_return,total_pnl,total_trades,winning_trades,losing_trades,win_rate,average_winner,average_loser,profit_factor,maximum_drawdown,average_trade_return,largest_winning_trade,largest_losing_trade,sharpe,sortino,return_over_max_drawdown,long_trades,short_trades,long_pnl,short_pnl,stop_exits,target_exits,eod_exits,average_holding_minutes,market_exposure,total_fees,modeled_slippage_cost,quality_clean,expected_sessions,represented_sessions,missing_sessions,truncated_sessions,missing_regular_session_bars,malformed_bars,duplicate_timestamps
4,validation,2024-01-01,2024-12-31,orb-v1,0.0,10000.0,10559.671850000048,0.05596718500000479,559.6718500000479,252,116,136,0.4603174603174603,28.123930258620742,-19.872823970588037,1.2070784805052013,0.019784350726228254,0.00045143539102847433,50.15800000000013,-26.787500000000364,1.3276445927175915,5.2798362306080815,2.8288613447298374,119,133,486.7310399999991,72.94081000003416,108,41,103,218.61111111111111,0.5636382238592184,0.0,0.0,True,252,252,,,0,0,0
4,out_of_sample,2025-01-01,2025-12-31,orb-v1,0.0,10000.0,10346.117665000023,0.03461176650000234,346.1176650000234,250,110,140,0.44,32.16651718181823,-22.801423035714116,1.1084260851545167,0.03036177385812788,0.0002720202601464333,62.1128699999997,-31.815000000000282,0.7455314743931444,2.6601388996409856,1.1399784038223029,126,124,-23.862619999998174,369.9802850000276,108,39,103,209.396,0.5399030528052805,0.0,0.0,True,250,250,,,0,0,0
1,research,2018-01-01,2020-12-31,orb-v1,2.0,10000.0,9720.750529991354,-0.02792494700086463,-279.2494700086463,753,298,455,0.39575033200531207,12.803508492361523,-8.999329671939334,0.9318021317927917,0.03257646139019151,-0.0001807393895127723,30.460483084719954,-16.244154419219967,-0.47389616414662816,-1.5147022466856561,-0.8572124107154434,390,363,37.340777371865386,-316.5902473805275,347,132,274,195.9867197875166,0.5044263516608218,0.0,609.9712678547024,False,756,756,,2018-05-02;2018-05-03;2020-03-09;2020-03-12;2020-03-16;2020-03-18,834,0,0
1,validation,2021-01-01,2021-12-31,orb-v1,2.0,10000.0,10368.395309907806,0.03683953099078062,368.3953099078062,252,121,131,0.4801587301587302,20.38704141831825,-16.018600776402252,1.1755570275757374,0.014279106897079435,0.00042372534677797365,39.05805782579989,-21.182362125300074,1.156120003609343,4.7325591830671865,2.5799604454474365,142,110,63.559384911050074,304.8359249967632,104,44,104,221.21428571428572,0.568256880733945,0.0,355.767143601201,True,252,252,,,0,0,0
1,out_of_sample,2022-01-01,2022-12-31,orb-v1,2.0,10000.0,9668.628832929997,-0.033137116707000314,-331.37116707000314,250,82,168,0.328,28.758702060000655,-16.00943295232168,0.8767946729337714,0.055845512071704025,-0.00033536345073561114,39.2922787722398,-20.7473196060198,-0.9446353755799151,-7.761707501502341,-0.5933711676679267,121,129,-373.44009292307646,42.06892585308765,163,76,11,90.256,0.23092825708729914,0.0,310.9992577500084,True,251,251,,,0,0,0
2,research,2019-01-01,2021-12-31,orb-v1,2.0,10000.0,10271.929086665688,0.027192908666568837,271.9290866656884,756,330,426,0.4365079365079365,15.945836348664425,-11.71407724975022,1.0544926566341055,0.024195592357104834,0.0001103607291622825,39.05805782579989,-21.182362125300074,0.3685154554308099,1.1273901702189295,1.1238786083525607,408,348,148.7447262338972,123.18436043176945,327,135,294,204.17724867724868,0.5248593986956551,0.0,795.9552625123744,False,757,757,,2020-03-09;2020-03-12;2020-03-16;2020-03-18,56,0,0
2,validation,2022-01-01,2022-12-31,orb-v1,2.0,10000.0,9668.628832929997,-0.033137116707000314,-331.37116707000314,250,82,168,0.328,28.758702060000655,-16.00943295232168,0.8767946729337714,0.055845512071704025,-0.00033536345073561114,39.2922787722398,-20.7473196060198,-0.9446353755799151,-7.761707501502341,-0.5933711676679267,121,129,-373.44009292307646,42.06892585308765,163,76,11,90.256,0.23092825708729914,0.0,310.9992577500084,True,251,251,,,0,0,0
2,out_of_sample,2023-01-01,2023-12-31,orb-v1,2.0,10000.0,9870.899620492311,-0.012910037950768855,-129.10037950768856,250,97,153,0.388,23.59625038401509,-15.803507625863817,0.9466072121397437,0.035212287180302976,-0.00010601196239024597,37.47682143633995,-21.40284381282015,-0.3802070643725396,-1.6741351344383657,-0.36663446156347557,141,109,14.597145536547487,-143.6975250442481,124,53,73,189.364,0.4873481572987441,0.0,345.5513604427154,True,250,250,,,0,0,0
3,research,2020-01-01,2022-12-31,orb-v1,2.0,10000.0,9963.458412324097,-0.003654158767590343,-36.54158767590343,755,302,453,0.4,21.967548750564383,-14.725698256835186,0.994522109916147,0.055218560773650636,6.356077066993436e-06,39.2922787722398,-21.182362125300074,-0.024425676339781204,-0.11796156766795035,-0.06617627689662722,400,355,-261.2243956833004,224.6828080074053,406,180,169,155.3430463576159,0.3988383481146961,0.0,920.2268009219504,False,756,756,,2020-03-09;2020-03-12;2020-03-16;2020-03-18,56,0,0
3,validation,2023-01-01,2023-12-31,orb-v1,2.0,10000.0,9870.899620492311,-0.012910037950768855,-129.10037950768856,250,97,153,0.388,23.59625038401509,-15.803507625863817,0.9466072121397437,0.035212287180302976,-0.00010601196239024597,37.47682143633995,-21.40284381282015,-0.3802070643725396,-1.6741351344383657,-0.36663446156347557,141,109,14.597145536547487,-143.6975250442481,124,53,73,189.364,0.4873481572987441,0.0,345.5513604427154,True,250,250,,,0,0,0
