scenario,timestamp,is_entry,status,reason,requested_quantity,unfilled_quantity,explanation
fixed-5bps,2025-09-19T12:28:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:29:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:30:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:31:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:32:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:33:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:34:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:35:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:36:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:37:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:38:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:39:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:40:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:41:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:42:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:43:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:44:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:45:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:46:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:47:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T12:48:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
