symbol,direction,entry_timestamp,entry_price,exit_timestamp,exit_price,quantity,stop_price,take_profit_price,fees,slippage,realized_pnl,exit_reason
QQQ,long,2025-02-11T09:35:00-05:00,527.64,2025-02-11T15:59:00-05:00,527.95,47,525.83,545.7399999999994,0.047,0.0,14.523000000002778,END_OF_DAY
QQQ,long,2025-02-12T09:35:00-05:00,523.25,2025-02-12T15:59:00-05:00,528.32,48,521.95,536.2499999999995,0.048,0.0,243.3120000000024,END_OF_DAY
QQQ,long,2025-02-13T09:35:00-05:00,531.65,2025-02-13T09:38:00-05:00,529.87,47,529.87,549.4499999999997,0.047,0.0,-83.70699999999871,STOP_LOSS
QQQ,long,2025-02-14T09:35:00-05:00,536.23,2025-02-14T09:36:00-05:00,535.8,47,535.8,540.5300000000007,0.047,0.0,-20.257000000002993,STOP_LOSS
QQQ,short,2025-02-18T09:35:00-05:00,539.61,2025-02-18T15:59:00-05:00,539.32,46,540.0,535.7100000000002,0.046,0.0,13.293999999998327,END_OF_DAY
QQQ,short,2025-02-19T09:35:00-05:00,538.33,2025-02-19T09:35:00-05:00,538.67,47,538.67,534.9300000000009,0.047,0.0,-16.026999999996153,STOP_LOSS
QQQ,short,2025-02-20T09:35:00-05:00,537.91,2025-02-20T15:59:00-05:00,537.19,47,539.1,526.0099999999994,0.047,0.0,33.79299999999594,END_OF_DAY
QQQ,short,2025-02-21T09:35:00-05:00,537.56,2025-02-21T13:09:00-05:00,529.1599999999996,47,538.4,529.1599999999996,0.047,0.0,394.75300000001494,TAKE_PROFIT
QQQ,short,2025-02-24T09:35:00-05:00,527.54,2025-02-24T15:59:00-05:00,519.83,48,529.069,512.25,0.048,0.0,370.0319999999963,END_OF_DAY
QQQ,short,2025-02-25T09:35:00-05:00,518.13,2025-02-25T09:36:00-05:00,519.24,50,519.24,507.02999999999986,0.05,0.0,-55.55000000000068,STOP_LOSS
QQQ,short,2025-02-26T09:35:00-05:00,514.84,2025-02-26T09:37:00-05:00,515.62,50,515.62,507.0400000000003,0.05,0.0,-39.04999999999863,STOP_LOSS
QQQ,long,2025-02-27T09:35:00-05:00,518.26,2025-02-27T09:39:00-05:00,517.7,50,517.7,523.8599999999994,0.05,0.0,-28.049999999997272,STOP_LOSS
QQQ,short,2025-02-28T09:35:00-05:00,497.07,2025-02-28T09:37:00-05:00,500.1701,52,500.1701,466.069,0.052000000000000005,0.0,-161.25719999999987,STOP_LOSS
QQQ,long,2025-03-03T09:35:00-05:00,512.31,2025-03-03T09:38:00-05:00,510.7,50,510.7,528.4099999999995,0.05,0.0,-80.54999999999784,STOP_LOSS
QQQ,short,2025-03-04T09:35:00-05:00,493.45,2025-03-04T09:36:00-05:00,494.7,52,494.7,480.95,0.052000000000000005,0.0,-65.052,STOP_LOSS
QQQ,short,2025-03-05T09:35:00-05:00,496.08,2025-03-05T09:41:00-05:00,496.83,51,496.83,488.58,0.051000000000000004,0.0,-38.301,STOP_LOSS
QQQ,short,2025-03-06T09:35:00-05:00,492.87,2025-03-06T09:39:00-05:00,493.73,52,493.73,484.26999999999987,0.052000000000000005,0.0,-44.77200000000071,STOP_LOSS
QQQ,long,2025-03-07T09:35:00-05:00,488.75,2025-03-07T10:31:00-05:00,486.92,52,486.92,507.04999999999984,0.052000000000000005,0.0,-95.21199999999918,STOP_LOSS
QQQ,short,2025-03-10T09:35:00-04:00,481.9,2025-03-10T09:44:00-04:00,483.86,53,483.86,462.2999999999996,0.053,0.0,-103.93300000000193,STOP_LOSS
QQQ,long,2025-03-12T09:35:00-04:00,480.1091,2025-03-12T09:44:00-04:00,478.54,52,478.54,495.80009999999993,0.052000000000000005,0.0,-81.64519999999958,STOP_LOSS
QQQ,short,2025-03-13T09:35:00-04:00,476.04,2025-03-13T09:45:00-04:00,473.6390000000002,53,476.2801,473.6390000000002,0.053,0.0,127.19999999999152,TAKE_PROFIT
QQQ,long,2025-03-14T09:35:00-04:00,475.55,2025-03-14T10:00:00-04:00,473.4608,53,473.4608,496.44200000000006,0.053,0.0,-110.78060000000028,STOP_LOSS
QQQ,long,2025-03-17T09:35:00-04:00,480.93,2025-03-17T10:36:00-04:00,479.18,52,479.18,498.43,0.052000000000000005,0.0,-91.052,STOP_LOSS
QQQ,short,2025-03-18T09:35:00-04:00,478.12,2025-03-18T15:59:00-04:00,474.73,52,479.61,463.2199999999999,0.052000000000000005,0.0,176.2279999999993,END_OF_DAY
QQQ,short,2025-03-19T09:35:00-04:00,476.42,2025-03-19T09:54:00-04:00,477.46,53,477.46,466.0200000000004,0.053,0.0,-55.17299999999807,STOP_LOSS
QQQ,long,2025-03-20T09:35:00-04:00,478.79,2025-03-20T15:59:00-04:00,479.29,53,476.18,504.89000000000016,0.053,0.0,26.447,END_OF_DAY
QQQ,short,2025-03-21T09:35:00-04:00,474.03,2025-03-21T09:48:00-04:00,475.4,53,475.4,460.3299999999999,0.053,0.0,-72.66300000000024,STOP_LOSS
QQQ,short,2025-03-24T09:35:00-04:00,487.24,2025-03-24T09:38:00-04:00,488.2,52,488.2,477.6400000000002,0.052000000000000005,0.0,-49.971999999998935,STOP_LOSS
