window_id,purpose,start_date,end_date,strategy_name,friction_bps,starting_capital,ending_capital,total_return,total_pnl,total_trades,winning_trades,losing_trades,win_rate,average_winner,average_loser,profit_factor,maximum_drawdown,average_trade_return,largest_winning_trade,largest_losing_trade,sharpe,sortino,return_over_max_drawdown,long_trades,short_trades,long_pnl,short_pnl,stop_exits,target_exits,eod_exits,average_holding_minutes,market_exposure,total_fees,modeled_slippage_cost,quality_clean,expected_sessions,represented_sessions,missing_sessions,truncated_sessions,missing_regular_session_bars,malformed_bars,duplicate_timestamps
4,validation,2024-01-01,2024-12-31,reference-orb-v1,0.0,25000.0,27496.742600000158,0.09986970400000632,2496.742600000158,251,56,195,0.22310756972111553,212.29408571428607,-48.1626984615383,1.2658449093202973,0.054776003593867584,0.00039577860556852133,624.3439999999987,-150.69599999999988,1.2331553136908477,6.327552563938353,1.8232382329401478,122,129,981.1237999999876,1515.6188000000643,192,3,56,123.62549800796813,0.31747493349703293,13.623000000000001,0.0,True,252,252,,,0,0,0
4,out_of_sample,2025-01-01,2025-12-31,reference-orb-v1,0.0,25000.0,25679.141100000033,0.02716564400000134,679.1411000000335,248,67,181,0.2701612903225806,169.2096567164176,-58.88345801104967,1.0637218142449532,0.07145426749331114,0.000122676000780252,979.3409999999812,-206.33399999999963,0.36493487972856264,1.4662881861303478,0.3801822473730393,120,128,-206.4935000000398,885.6346000000308,180,8,60,129.81854838709677,0.3320441419141914,11.332,0.0,True,250,250,,,0,0,0
1,research,2018-01-01,2020-12-31,reference-orb-v1,2.0,25000.0,24073.92381917698,-0.037043047232920796,-926.07618082302,747,167,580,0.22356091030789826,255.90134817662795,-75.27862297641371,0.9787896881311855,0.19338799087463626,-3.7593950920094556e-05,1012.8004694332096,-254.7926340000018,-0.06708002496087884,-0.26026644454108383,-0.19154781569106816,394,353,-2244.3205355347163,1318.2443547116231,562,14,171,130.05756358768406,0.3320720794624119,100.366,7828.5248128232,False,756,756,,2018-05-02;2018-05-03;2020-03-09;2020-03-12;2020-03-16;2020-03-18,834,0,0
1,validation,2021-01-01,2021-12-31,reference-orb-v1,2.0,25000.0,24193.72887818002,-0.03225084487279921,-806.2711218199802,252,65,187,0.25793650793650796,186.78251072953773,-69.2360124023528,0.9377259011963852,0.07515811798278174,-0.00011968583705506116,441.98190000000005,-215.08502399999662,-0.36856944506481853,-1.4087420659046348,-0.42910660535948597,131,121,267.69341331996156,-1073.9645351399813,184,0,68,133.86111111111111,0.34386340468909277,17.912,2512.68562182,True,252,252,,,0,0,0
1,out_of_sample,2022-01-01,2022-12-31,reference-orb-v1,2.0,25000.0,27100.984405040348,0.08403937620161392,2100.984405040348,251,61,190,0.24302788844621515,388.01535188099047,-113.51553715631614,1.097412327291197,0.09387329668081222,0.0003575676316109572,1361.8726644996166,-254.7067999999991,0.5816663684117956,3.0524038257956403,0.8952426214172964,119,132,2796.875549639595,-695.8911445992472,189,4,58,124.36653386454184,0.3194760004093747,21.184,2596.4612009596,True,251,251,,,0,0,0
2,research,2019-01-01,2021-12-31,reference-orb-v1,2.0,25000.0,21518.60320583082,-0.13925587176676724,-3481.396794169181,753,176,577,0.2337317397078353,201.9555037999471,-67.63529542973995,0.9107918936504961,0.18360904678451656,-0.00019680206244907802,882.0831760000005,-254.37515800000153,-0.4805412612983523,-1.6786837307625615,-0.7584368755543828,386,367,-528.3387807168159,-2953.058013452442,563,9,181,131.58034528552457,0.3368990866865696,73.60900000000001,7085.6545161692,False,757,757,,2020-03-09;2020-03-12;2020-03-16;2020-03-18,56,0,0
2,validation,2022-01-01,2022-12-31,reference-orb-v1,2.0,25000.0,27100.984405040348,0.08403937620161392,2100.984405040348,251,61,190,0.24302788844621515,388.01535188099047,-113.51553715631614,1.097412327291197,0.09387329668081222,0.0003575676316109572,1361.8726644996166,-254.7067999999991,0.5816663684117956,3.0524038257956403,0.8952426214172964,119,132,2796.875549639595,-695.8911445992472,189,4,58,124.36653386454184,0.3194760004093747,21.184,2596.4612009596,True,251,251,,,0,0,0
2,out_of_sample,2023-01-01,2023-12-31,reference-orb-v1,2.0,25000.0,22061.188497481293,-0.11755246010074828,-2938.811502518707,249,51,198,0.20481927710843373,181.9216817282578,-61.70109732656546,0.7594454073094229,0.13971961507072478,-0.0004906223109296013,570.1580400000021,-232.2234279999994,-1.4906903624389638,-6.066491934945455,-0.8413454334328384,143,106,-1688.2109360860393,-1250.6005664327738,196,2,51,110.29317269076306,0.2827156681078855,16.409,2233.5011685188,True,250,250,,,0,0,0
3,research,2020-01-01,2022-12-31,reference-orb-v1,2.0,25000.0,24009.38977800356,-0.03962440887985766,-990.6102219964414,753,179,574,0.23771580345285526,267.0110454540984,-84.99231247087111,0.9796946131913634,0.23926623555488907,-4.266374519849878e-05,1210.5534795552146,-254.37515800000153,-0.045217874643235324,-0.18142702239619754,-0.1656080256704987,381,372,1066.3915933551787,-2057.0018153515884,564,7,182,129.60690571049136,0.33188013493661245,60.254000000000005,7065.3880879964,False,756,756,,2020-03-09;2020-03-12;2020-03-16;2020-03-18,56,0,0
3,validation,2023-01-01,2023-12-31,reference-orb-v1,2.0,25000.0,22061.188497481293,-0.11755246010074828,-2938.811502518707,249,51,198,0.20481927710843373,181.9216817282578,-61.70109732656546,0.7594454073094229,0.13971961507072478,-0.0004906223109296013,570.1580400000021,-232.2234279999994,-1.4906903624389638,-6.066491934945455,-0.8413454334328384,143,106,-1688.2109360860393,-1250.6005664327738,196,2,51,110.29317269076306,0.2827156681078855,16.409,2233.5011685188,True,250,250,,,0,0,0
3,out_of_sample,2024-01-01,2024-12-31,reference-orb-v1,2.0,25000.0,24988.371413114746,-0.0004651434754101501,-11.628586885253753,251,56,195,0.22310756972111553,193.0130607020503,-55.48902557025619,0.9989253049898551,0.07905746569915043,7.818250246890183e-06,570.2955440000013,-152.1552619999987,0.03379342484172004,0.17421392443348516,-0.005883612272372002,122,129,-272.7464483400206,261.11786145487986,192,2,57,124.4780876494024,0.3196644157970125,12.987,2403.2953608852,True,252,252,,,0,0,0
4,research,2021-01-01,2023-12-31,reference-orb-v1,2.0,25000.0,23124.67092607915,-0.07501316295683398,-1875.3290739208496,752,177,575,0.23537234042553193,252.95432889513626,-81.12738311019132,0.9597985076967336,0.1955103275231911,-8.321317928855836e-05,1320.603795878416,-254.7067999999991,-0.17187699078382618,-0.7188823670156006,-0.38367877496361946,393,359,1214.2373666391159,-3089.566440559999,569,6,177,122.88829787234043,0.3154531490015361,55.619,7367.3988779208,True,753,753,,,0,0,0
4,validation,2024-01-01,2024-12-31,reference-orb-v1,2.0,25000.0,24988.371413114746,-0.0004651434754101501,-11.628586885253753,251,56,195,0.22310756972111553,193.0130607020503,-55.48902557025619,0.9989253049898551,0.07905746569915043,7.818250246890183e-06,570.2955440000013,-152.1552619999987,0.03379342484172004,0.17421392443348516,-0.005883612272372002,122,129,-272.7464483400206,261.11786145487986,192,2,57,124.4780876494024,0.3196644157970125,12.987,2403.2953608852,True,252,252,,,0,0,0
4,out_of_sample,2025-01-01,2025-12-31,reference-orb-v1,2.0,25000.0,23511.306923172062,-0.05954772307311752,-1488.693076827938,248,65,183,0.2620967741935484,161.2229062204922,-65.39990153639339,0.8756124297598866,0.11706172823388235,-0.00023761017928340038,1006.082991863177,-212.2779320000015,-0.6783897168174025,-2.7585876835263967,-0.5086865192537113,120,128,-1269.8226686568432,-218.8704081711545,180,4,64,132.71774193548387,0.3394595709570957,10.871,2359.682304828,True,250,250,,,0,0,0
1,research,2018-01-01,2020-12-31,reference-orb-v1,5.0,25000.0,15281.689569037733,-0.38873241723849067,-9718.310430962267,747,163,584,0.2182061579651941,200.98136838029197,-72.73676965231155,0.7712169154841989,0.42001203424977196,-0.0006288426597523885,863.5869928725085,-257.4675600000018,-1.4860678655750679,-5.370727675874733,-0.9255268552789133,394,353,-6711.721685397502,-3006.5887455648513,562,7,178,131.25435073627844,0.3351278002228557,82.846,15839.0860959625,False,756,756,,2018-05-02;2018-05-03;2020-03-09;2020-03-12;2020-03-16;2020-03-18,834,0,0
1,validation,2021-01-01,2021-12-31,reference-orb-v1,5.0,25000.0,20809.48193030001,-0.16762072278799955,-4190.518069699989,252,62,190,0.24603174603174602,168.96776973790227,-77.1922094392104,0.7142799976602829,0.19707893416808733,-0.0007198078947005119,416.40878999999796,-221.04871499999854,-2.2464299391356577,-8.345756739310158,-0.8505258235516787,131,121,-1554.2628858000462,-2636.2551838999893,184,0,68,133.86111111111111,0.34386340468909277,16.681,5831.5966697,True,252,252,,,0,0,0
1,out_of_sample,2022-01-01,2022-12-31,reference-orb-v1,5.0,25000.0,23278.513044535022,-0.06885947821859911,-1721.4869554649777,251,61,190,0.24302788844621515,344.84794235221403,-119.77479704710547,0.9243542223930575,0.11865579741959957,-0.0002462899855172729,1288.0816500000014,-260.80137000000514,-0.36500729053368697,-1.8854324366214739,-0.5803296570086082,119,132,844.0541639999702,-2565.5411194649446,189,2,60,127.4621513944223,0.3274281035717941,19.54,6008.116025465,True,251,251,,,0,0,0
2,research,2019-01-01,2021-12-31,reference-orb-v1,5.0,25000.0,13650.66033626762,-0.4539735865492952,-11349.33966373238,753,170,583,0.22576361221779548,156.67639453010287,-65.15321909751276,0.7012099294728731,0.47149083260871394,-0.0007981814051920879,714.0443699999986,-257.4675600000018,-2.0737162024444213,-6.9254777353614445,-0.9628471120795764,386,367,-4655.532392257528,-6693.807271474929,563,4,186,132.41434262948206,0.339034458370453,61.448,14284.9416287325,False,757,757,,2020-03-09;2020-03-12;2020-03-16;2020-03-18,56,0,0
2,validation,2022-01-01,2022-12-31,reference-orb-v1,5.0,25000.0,23278.513044535022,-0.06885947821859911,-1721.4869554649777,251,61,190,0.24302788844621515,344.84794235221403,-119.77479704710547,0.9243542223930575,0.11865579741959957,-0.0002462899855172729,1288.0816500000014,-260.80137000000514,-0.36500729053368697,-1.8854324366214739,-0.5803296570086082,119,132,844.0541639999702,-2565.5411194649446,189,2,60,127.4621513944223,0.3274281035717941,19.54,6008.116025465,True,251,251,,,0,0,0
2,out_of_sample,2023-01-01,2023-12-31,reference-orb-v1,5.0,25000.0,19061.705407272544,-0.23753178370909825,-5938.294592727456,249,48,201,0.1927710843373494,167.53412707234307,-69.55190394129345,0.5752272401110522,0.23981322871565056,-0.001077075696332734,501.28659000000334,-246.67506999999847,-3.2610573523531485,-12.84208194540022,-0.9904865756623566,143,106,-3326.546219727516,-2611.748372999998,196,1,52,111.5140562248996,0.2858451719168211,15.349,5200.0512477275,True,250,250,,,0,0,0
3,research,2020-01-01,2022-12-31,reference-orb-v1,5.0,25000.0,15288.884641195107,-0.38844461435219574,-9711.115358804893,753,176,577,0.2337317397078353,204.76356535792627,-79.28856648492199,0.787732876832776,0.43829957329545033,-0.0006424193772934298,868.0539399999983,-260.32694999999956,-1.2435670680148845,-4.934593777216152,-0.8862536904418836,381,372,-4034.802773200072,-5676.312585604895,564,3,186,130.67994687915007,0.3346278361173078,49.365,14249.030548805,False,756,756,,2020-03-09;2020-03-12;2020-03-16;2020-03-18,56,0,0
3,validation,2023-01-01,2023-12-31,reference-orb-v1,5.0,25000.0,19061.705407272544,-0.23753178370909825,-5938.294592727456,249,48,201,0.1927710843373494,167.53412707234307,-69.55190394129345,0.5752272401110522,0.23981322871565056,-0.001077075696332734,501.28659000000334,-246.67506999999847,-3.2610573523531485,-12.84208194540022,-0.9904865756623566,143,106,-3326.546219727516,-2611.748372999998,196,1,52,111.5140562248996,0.2858451719168211,15.349,5200.0512477275,True,250,250,,,0,0,0
3,out_of_sample,2024-01-01,2024-12-31,reference-orb-v1,5.0,25000.0,21543.648774037483,-0.13825404903850066,-3456.3512259625168,251,54,197,0.2151394422310757,171.57356003495394,-64.5752460296954,0.7283025437803263,0.16745466387720148,-0.0005801628621057991,502.6440849999979,-150.75047999999992,-1.8165923629901863,-9.093448221792576,-0.82562077303434,122,129,-1953.7070113500063,-1502.6442146124762,192,1,58,124.63346613545816,0.3200634335993452,12.108,5585.7171009625,True,252,252,,,0,0,0
4,research,2021-01-01,2023-12-31,reference-orb-v1,5.0,25000.0,14758.763354337349,-0.4096494658265061,-10241.236645662651,752,171,581,0.22739361702127658,199.5682339516811,-76.36386342753872,0.7691720593951991,0.42832708454320384,-0.0006800561492236905,1064.0674500000011,-244.86650999999748,-1.48777759967842,-6.050857854772551,-0.9563940283238992,393,359,-3435.428633942583,-6805.808011719942,569,3,180,124.32579787234043,0.3191431984980372,44.74,14829.9254906625,True,753,753,,,0,0,0
4,validation,2024-01-01,2024-12-31,reference-orb-v1,5.0,25000.0,21543.648774037483,-0.13825404903850066,-3456.3512259625168,251,54,197,0.2151394422310757,171.57356003495394,-64.5752460296954,0.7283025437803263,0.16745466387720148,-0.0005801628621057991,502.6440849999979,-150.75047999999992,-1.8165923629901863,-9.093448221792576,-0.82562077303434,122,129,-1953.7070113500063,-1502.6442146124762,192,1,58,124.63346613545816,0.3200634335993452,12.108,5585.7171009625,True,252,252,,,0,0,0
4,out_of_sample,2025-01-01,2025-12-31,reference-orb-v1,5.0,25000.0,20459.198263699895,-0.18163206945200422,-4540.801736300105,248,58,190,0.23387096774193547,159.2585230181035,-72.51471616500004,0.6704261180246168,0.21317124486487216,-0.0008035974729491408,1034.1216481399902,-222.64372000000125,-2.2484104735282187,-8.770876095470825,-0.8520477026211466,120,128,-2677.783708410005,-1863.0180278900013,180,3,65,133.8266129032258,0.3422957920792079,10.218,5525.8743763,True,250,250,,,0,0,0
